acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661.0,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
0.64,https://api.spotify.com/v1/audio-analysis/1mXVgsBdtIVeCLJnSnmtdV,0.681,201000.0,0.372,1mXVgsBdtIVeCLJnSnmtdV,0.0,5.0,0.169,-8.237,1.0,0.0432,91.873,4.0,https://api.spotify.com/v1/tracks/1mXVgsBdtIVeCLJnSnmtdV,audio_features,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,0.476
0.431,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,0.484,204280.0,0.731,7yq4Qj7cqayVTp3FF9CWbm,0.0,1.0,0.151,-6.694,1.0,0.0379,101.654,4.0,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,audio_features,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,0.51
0.0291,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,0.641,258343.0,0.922,3bidbhpOYeV4knp8AIu8Xn,0.0,2.0,0.0862,-4.457,1.0,0.0786,146.078,4.0,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,audio_features,spotify:track:3bidbhpOYeV4knp8AIu8Xn,0.847
0.0671,https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB,0.585,242253.0,0.564,7fBv7CLKzipRk6EC6TWHOB,0.0,0.0,0.135,-7.063,0.0,0.0515,113.003,4.0,https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB,audio_features,spotify:track:7fBv7CLKzipRk6EC6TWHOB,0.137
0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902.0,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6.0,0.104,-5.043,1.0,0.123,97.985,4.0,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.733
0.104,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,0.896,196653.0,0.586,0nbXyq5TXYPCO7pr3N8S4I,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.642
0.0152,https://api.spotify.com/v1/audio-analysis/3zkWCteF82vJwv0hRLba76,0.746,206880.0,0.754,3zkWCteF82vJwv0hRLba76,0.0,1.0,0.0486,-6.684,1.0,0.0676,149.882,4.0,https://api.spotify.com/v1/tracks/3zkWCteF82vJwv0hRLba76,audio_features,spotify:track:3zkWCteF82vJwv0hRLba76,0.746
0.0472,https://api.spotify.com/v1/audio-analysis/3S4px9f4lceWdKf0gWciFu,0.628,211667.0,0.698,3S4px9f4lceWdKf0gWciFu,0.00143,6.0,0.0907,-5.608,0.0,0.105,89.976,4.0,https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu,audio_features,spotify:track:3S4px9f4lceWdKf0gWciFu,0.732
0.567,https://api.spotify.com/v1/audio-analysis/0eXb8Kgkm9UcMMQPIxk3wE,0.613,235545.0,0.522,0eXb8Kgkm9UcMMQPIxk3wE,0.0,0.0,0.13,-6.814,1.0,0.115,59.406,4.0,https://api.spotify.com/v1/tracks/0eXb8Kgkm9UcMMQPIxk3wE,audio_features,spotify:track:0eXb8Kgkm9UcMMQPIxk3wE,0.447
0.556,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,0.921,135090.0,0.537,0JP9xo3adEtGSdUEISiszL,0.00404,9.0,0.102,-5.723,0.0,0.0804,128.009,4.0,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,audio_features,spotify:track:0JP9xo3adEtGSdUEISiszL,0.711
0.841,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,0.775,189486.0,0.327,4cktbXiXOapiLBMprHFErI,0.0,11.0,0.0821,-7.241,1.0,0.0557,91.05,4.0,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,audio_features,spotify:track:4cktbXiXOapiLBMprHFErI,0.595
